HDR,FORECAST 2 TO 52 WEEKS AHEAD DEMAND AND MARGIN DATA,,,
WN,13,N,2.02E+13,37260
WN,14,N,2.02E+13,38291
WN,15,N,2.02E+13,36667
WN,16,N,2.02E+13,35749
WN,17,N,2.02E+13,35282
WN,18,N,2.02E+13,34083
WN,19,N,2.02E+13,33392
WN,20,N,2.02E+13,32665
WN,21,N,2.02E+13,32331
WN,22,N,2.02E+13,31317
WN,23,N,2.02E+13,31427
WN,24,N,2.02E+13,31511
WN,25,N,2.02E+13,31470
WN,26,N,2.02E+13,31325
WN,27,N,2.02E+13,31397
WN,28,N,2.02E+13,31251
WN,29,N,2.02E+13,31357
WN,30,N,2.02E+13,31172
WN,31,N,2.02E+13,30500
WN,32,N,2.02E+13,30518
WN,33,N,2.02E+13,31054
WN,34,N,2.02E+13,31744
WN,35,N,2.02E+13,32503
WN,36,N,2.02E+13,33525
WN,37,N,2.02E+13,34488
WN,38,N,2.02E+13,35489
WN,39,N,2.02E+13,36275
WN,40,N,2.02E+13,37474
WN,41,N,2.02E+13,38572
WN,42,N,2.02E+13,39837
WN,43,N,2.02E+13,40369
WN,44,N,2.02E+13,39606
WN,45,N,2.02E+13,40550
WN,46,N,2.02E+13,43075
WN,47,N,2.02E+13,45600
WN,48,N,2.02E+13,45120
WN,49,N,2.02E+13,45650
WN,50,N,2.02E+13,46100
WN,51,N,2.02E+13,46390
WN,52,N,2.02E+13,43310
WN,1,N,2.02E+13,43940
WN,2,N,2.02E+13,45950
WN,3,N,2.02E+13,45740
WN,4,N,2.02E+13,45570
WN,5,N,2.02E+13,45770
WN,6,N,2.02E+13,45490
WN,7,N,2.02E+13,45190
WN,8,N,2.02E+13,43990
WN,9,N,2.02E+13,43320
WN,10,N,2.02E+13,40998
WN,11,N,2.02E+13,39981
WN,12,N,2.02E+13,38768
